National Center for Education Statistics
"Number of full-time, first-time students receiving financial aid, by sector of institution and  type of aid: 2020-21"

,Any financial aid,"Grants or scholarships from the federal government, state/local government, or the institution",Federal grants,Pell grants,Other federal grants,State/local government grants or scholarships ,Institutional grants or scholarships ,Loans to students,Federal loans,Other loans
"Public, 4-year or above","977,557","901,992","558,467","401,091","411,876","436,514","651,705","422,768","410,911","58,890"
"Private not-for-profit, 4-year or above","432,959","421,123","196,163","146,448","145,440","119,107","402,646","252,733","246,458","45,459"
"Private for-profit, 4-year or above","44,186","40,043","35,235","30,701","17,461","4,867","19,082","34,586","34,208","2,399"
"Public, 2-year","382,775","364,205","287,958","221,034","211,812","211,191","96,529","71,276","70,127","2,561"
"Private not-for-profit, 2-year","15,904","15,116","13,917","13,346","2,975","1,689","4,615","12,160","12,100",344
"Private for-profit, 2-year","99,751","89,004","84,282","80,526","38,519","5,532","20,458","84,410","83,492","10,564"
"Public, less-than 2-year","12,632","11,615","9,724","7,645","4,015","3,582","2,362","3,113","3,059",111
"Private not-for-profit, less-than 2-year","4,576","4,224","3,899","3,130","2,136",965,622,"2,578","2,552",48
"Private for-profit, less-than 2-year","108,777","97,356","92,747","89,380","31,535","4,888","14,228","89,596","88,393","8,306"

"Pell grants, other federal grants, federal and other loans were not collected prior to 2007-08."
"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
"Prior to academic year 2010-11, the data represents students receiving aid, rather than students awarded aid. Students awarded aid include those who were awarded aid and accepted while student receiving aid include those who were awarded and disbursed aid"
